isbn13,Stock,Price,Discount,VendorId,dist_id,Publisher,Weight
9789380833507,5,5500.0,50.0,NA,408,,0.0
9789391314200,5,495.0,50.0,NA,392,,0.0
9789358711288,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9780130330253,1,3249.0,40.0,NA,265,,0.0
9780824304430,1,16185.1,45.0,NA,245,ANNUAL REVIEWS,0.0
9789358711288,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281089,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9789334152890,10,249.0,30.0,NA,344,,0.0
9781474206808,0,17075.3,42.5,NA,22,BLOOMSBURY,0.0
9789358712636,100,175.0,40.0,NA,304,Double 9 Publisher,0.0
9789364289870,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9780414098510,0,35599.5,55.0,NA,39,ROUND HALL PRESS,0.0
9783527270187,1,12138.8,50.0,NA,245,VCH PUBLISHERS,0.0
9789364281102,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9788183763035,5,7000.0,50.0,NA,393,ABD PUBLISHERS,0.0
9789360462550,100,199.0,40.0,NA,304,Double 9 Publisher,0.0
9798886849851,10,400.0,30.0,NA,344,,0.0
9789357483940,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789364281928,100,125.0,40.0,NA,304,Double 9 Publisher,0.0
9789390951666,0,800.0,35.0,NA,307,ALLIED PUB.,0.0
9781898256403,0,95.0,35.0,NA,30,SRISHTI PUBLISHERS &,0.0
9789358712858,1,275.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789364287197,1,249.0,40.0,NA,187,DOUBLE 9 BOOKS,700.0
9789358019216,100,375.0,50.0,NA,304,Double 9 Publisher,0.0
9789358712858,100,275.0,50.0,NA,304,Double 9 Publisher,0.0
9789361426896,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364287197,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9789364288880,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
9789364286343,100,249.0,40.0,NA,304,Double 9 Publisher,0.0
9789361423741,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789280810769,1,1900.0,40.0,NA,265,,0.0
9789358018042,100,99.0,40.0,NA,304,Double 9 Publisher,0.0
9789358018882,100,449.0,50.0,NA,304,Double 9 Publisher,0.0
9789384568221,5,9000.0,50.0,NA,393,AGROTECH PRESS,0.0
9789358017205,1,225.0,40.0,NA,187,DOUBLE 9 BOOKS,0.0
9789358017205,100,225.0,50.0,NA,304,Double 9 Publisher,0.0
9789241561037,2,400.0,40.0,NA,245,WORLD HEALTH ORGANIZATION,0.0
9780205335312,1,4341.0,40.0,NA,265,,0.0
9788192485102,10,475.0,30.0,NA,344,,0.0
9780849394683,3,1798.34,55.0,NA,39,CRC,0.0
9789357484862,100,249.0,50.0,NA,304,Double 9 Publisher,0.0
9781555532048,1,4945.44,45.0,NA,245,NORTHEASTERN UNIVERSITY PRESS,0.0
9789361426223,100,225.0,40.0,NA,304,Double 9 Publisher,0.0
9789380179292,5,1995.0,50.0,NA,393,OXFORD BOOK CO.,0.0
9789391314125,5,295.0,40.0,NA,392,,0.0
9789360462895,100,199.0,50.0,NA,304,Double 9 Publisher,0.0
9789361427428,100,149.0,40.0,NA,304,Double 9 Publisher,0.0
